dataset	variant	config	report	threshold_mean	threshold_std	fixed_auc	fixed_auc_std	fixed_aupr	fixed_aupr_std	fixed_recall	fixed_recall_std	fixed_precision	fixed_precision_std	fixed_f1_score	fixed_f1_score_std	calibrated_auc	calibrated_auc_std	calibrated_aupr	calibrated_aupr_std	calibrated_recall	calibrated_recall_std	calibrated_precision	calibrated_precision_std	calibrated_f1_score	calibrated_f1_score_std
TCM-Suite	HerbOnly	configs/HDCTI_tcmsuite_cold_start_no_dense_herb_only_full.conf	/home/zry/workspace/HDCTI/results/batch_runs/sdis_full_20260718_212240/calibration/tcmsuite_baseline/report.json	0.04380695143519371	0.042284470514159414	0.6399189722108236	0.027578022266627446	0.643661479520032	0.024613665343833666	0.4761964433972028	0.07256643592756705	0.6414462704563204	0.0433187032669954	0.5419891250338125	0.03920235735026798	0.6399189722108236	0.027578022266627446	0.643661479520032	0.024613665343833666	0.8896703441179488	0.10747162674320257	0.5279885590767973	0.0325971180482821	0.6584616892446736	0.011972704295215996
TCM-Suite	SDIS	configs/HDCTI_tcmsuite_cold_start_sdis_full.conf	/home/zry/workspace/HDCTI/results/batch_runs/sdis_full_20260718_212240/calibration/tcmsuite_sdis/report.json	0.17740510724440356	0.12151286071080249	0.7218510604089771	0.009130093722249204	0.702966535182564	0.017793203561782527	0.17831882262613605	0.017241119110848017	0.7754223927524807	0.0377852852366474	0.289415013611234	0.021885086794068715	0.7218510604089771	0.009130093722249204	0.702966535182564	0.017793203561782527	0.8396096956838068	0.10957059937232276	0.5961048186281138	0.07049574227583918	0.6889763171827075	0.017200207353920242
TCMSP	HerbOnly	configs/HDCTI_tcmsp_cold_start_no_dense_herb_only_full.conf	/home/zry/workspace/HDCTI/results/batch_runs/sdis_full_20260718_212240/calibration/tcmsp_baseline/report.json	0.050814723057821	0.06954354606426585	0.9229033558528805	0.0225319671325391	0.9183419286621856	0.021978995357839856	0.4460796561578184	0.078845820296562	0.9531493127232148	0.019663515823960965	0.6037756705216186	0.06678598665352223	0.9229033558528805	0.0225319671325391	0.9183419286621856	0.021978995357839856	0.867688698345555	0.038811433978416764	0.8763420229942671	0.031734294896796224	0.8718998281038735	0.03397963805016846
TCMSP	SDIS	configs/HDCTI_tcmsp_cold_start_sdis_full.conf	/home/zry/workspace/HDCTI/results/batch_runs/sdis_full_20260718_212240/calibration/tcmsp_sdis/report.json	0.22818105247286297	0.11725502321130035	0.9472518802006	0.005086031226437207	0.9412330239002458	0.0028612491903441503	0.3607892287522393	0.279984449939917	0.9648392916577571	0.013182085629275695	0.47508749515039084	0.29371223033868965	0.9472518802006	0.005086031226437207	0.9412330239002458	0.0028612491903441503	0.8894516695125848	0.01542758052634167	0.926836352809422	0.011016640690699015	0.9076380217502873	0.006876490505185897
SymMap2.0	HerbOnly	configs/HDCTI_symmap_cold_start_no_dense_herb_only_full.conf	/home/zry/workspace/HDCTI/results/batch_runs/sdis_full_20260718_212240/calibration/symmap_baseline/report.json	0.29488856899653315	0.08272336464872825	0.7839098710172754	0.013432971682584205	0.797639290633115	0.010910319601819391	0.6905574572179649	0.023295261752274667	0.7398499165730688	0.023475325128769008	0.7138852967459718	0.011208443887865188	0.7839098710172754	0.013432971682584205	0.797639290633115	0.010910319601819391	0.799006023880409	0.023382382282101523	0.6707592443288544	0.01823555904830836	0.7289275651793992	0.010225356923671696
SymMap2.0	SDIS	configs/HDCTI_symmap_cold_start_sdis_full.conf	/home/zry/workspace/HDCTI/results/batch_runs/sdis_full_20260718_212240/calibration/symmap_sdis/report.json	0.3240391808609944	0.06078323401244442	0.807888071177602	0.012536111538645887	0.8098543097310642	0.012379811658208026	0.40604403725694915	0.036231198021128265	0.8731079924674046	0.01177130974264424	0.5534246037957874	0.032592246372119285	0.807888071177602	0.012536111538645887	0.8098543097310642	0.012379811658208026	0.788028640528857	0.01681174216977896	0.7254058533448562	0.02168063976618158	0.7550710843191587	0.007508031383622176
ETCM2.0 mention10	HerbOnly	configs/HDCTI_etcm_mention10_cold_start_no_dense_herb_only_full.conf	/home/zry/workspace/HDCTI/results/batch_runs/sdis_full_20260718_212240/calibration/etcm_baseline/report.json	0.03805945127271752	0.06376200281373931	0.8912407075145353	0.012749885360101888	0.8812792469813179	0.017219399065423087	0.43131873830964224	0.03149936440955423	0.9233822388920953	0.019416234413691655	0.5871353785331679	0.025000951020145126	0.8912407075145353	0.012749885360101888	0.8812792469813179	0.017219399065423087	0.8612136130895269	0.019006439748740937	0.7928481214425787	0.022958604804195742	0.8252680100565293	0.010356054222786511
ETCM2.0 mention10	SDIS	configs/HDCTI_etcm_mention10_cold_start_sdis_full.conf	/home/zry/workspace/HDCTI/results/batch_runs/sdis_full_20260718_212240/calibration/etcm_sdis/report.json	0.043567183090065686	0.028869166198364025	0.9165213634761293	0.0038384934547050433	0.8989654664371727	0.006037283489883681	0.2652341662211332	0.06980346950166139	0.9441265680574137	0.007135331689071453	0.4103305033367479	0.08404402662428384	0.9165213634761293	0.0038384934547050433	0.8989654664371727	0.006037283489883681	0.9000125154932375	0.01905436099963038	0.8075426862133954	0.01500033432651436	0.851010383638988	0.002190058936743637
