dataset	variant	config	exit_code	status	duration_seconds	AUC	AUPR	Recall	Precision	F1-score	log	config_sha256
TCM-Suite	HerbOnly	configs/HDCTI_tcmsuite_cold_start_no_dense_herb_only_full.conf	0	OK	108	0.639919(±0.027578)	0.643662(±0.024614)	0.476196(±0.072566)	0.641446(±0.043319)	0.541989(±0.039202)	/home/zry/workspace/HDCTI/results/batch_runs/sdis_full_20260718_212240/01_tcmsuite_baseline.log	696d8de71689faf0bad1789dbab00654a38027b9d5ad9eeb6766483364aa8aa2
TCM-Suite	SDIS	configs/HDCTI_tcmsuite_cold_start_sdis_full.conf	0	OK	57	0.721851(±0.009130)	0.702967(±0.017793)	0.178319(±0.017241)	0.775422(±0.037785)	0.289415(±0.021885)	/home/zry/workspace/HDCTI/results/batch_runs/sdis_full_20260718_212240/02_tcmsuite_sdis.log	889693379ec36ed4792e8f9e3682963a7c005ca4b9be55cab97e5af03f72a318
TCMSP	HerbOnly	configs/HDCTI_tcmsp_cold_start_no_dense_herb_only_full.conf	0	OK	132	0.922903(±0.022532)	0.918342(±0.021979)	0.446080(±0.078846)	0.953149(±0.019664)	0.603776(±0.066786)	/home/zry/workspace/HDCTI/results/batch_runs/sdis_full_20260718_212240/03_tcmsp_baseline.log	7d0a9a2dc168a503efb4617f985c8dce963f97c4ecf1b509b8bed9bc66078573
TCMSP	SDIS	configs/HDCTI_tcmsp_cold_start_sdis_full.conf	0	OK	71	0.947252(±0.005086)	0.941233(±0.002861)	0.360789(±0.279984)	0.964839(±0.013182)	0.475087(±0.293712)	/home/zry/workspace/HDCTI/results/batch_runs/sdis_full_20260718_212240/04_tcmsp_sdis.log	3b5015cab15df23078d62b5711ac2f50e6c02cb50b28591a3ec61823d0493370
SymMap2.0	HerbOnly	configs/HDCTI_symmap_cold_start_no_dense_herb_only_full.conf	0	OK	123	0.783910(±0.013433)	0.797639(±0.010910)	0.690557(±0.023295)	0.739850(±0.023475)	0.713885(±0.011208)	/home/zry/workspace/HDCTI/results/batch_runs/sdis_full_20260718_212240/05_symmap_baseline.log	a618111404d20e0192377d5e974d737bfb823d42bef6ee24f61cb857aa25b0e8
SymMap2.0	SDIS	configs/HDCTI_symmap_cold_start_sdis_full.conf	0	OK	81	0.807888(±0.012536)	0.809854(±0.012380)	0.406044(±0.036231)	0.873108(±0.011771)	0.553425(±0.032592)	/home/zry/workspace/HDCTI/results/batch_runs/sdis_full_20260718_212240/06_symmap_sdis.log	454fa441f4623d6afe02576cbf4794c7a49b1e795a0fe8e6dbeb6329c9d69914
ETCM2.0 mention10	HerbOnly	configs/HDCTI_etcm_mention10_cold_start_no_dense_herb_only_full.conf	0	OK	635	0.891241(±0.012750)	0.881279(±0.017219)	0.431319(±0.031499)	0.923382(±0.019416)	0.587135(±0.025001)	/home/zry/workspace/HDCTI/results/batch_runs/sdis_full_20260718_212240/07_etcm_baseline.log	954b4bdfc1cb8cc550e93718ec9c0058031c2077c36f846a7f16f85240da8489
ETCM2.0 mention10	SDIS	configs/HDCTI_etcm_mention10_cold_start_sdis_full.conf	0	OK	401	0.916521(±0.003838)	0.898965(±0.006037)	0.265234(±0.069803)	0.944127(±0.007135)	0.410331(±0.084044)	/home/zry/workspace/HDCTI/results/batch_runs/sdis_full_20260718_212240/08_etcm_sdis.log	37feb7de61b4f58061f5c7e42b13bbc91d572441cbdd13e618956eda239576c4
