dataset	variant	config	exit_code	status	started_at	finished_at	duration_seconds	AUC	AUPR	Recall	Precision	F1-score	log	config_sha256
TCM-Suite	Hctx-P	configs/HDCTI_tcmsuite_pair_stratified_herb_only_no_dense_full.conf	0	OK	2026-07-17T17:14:07+08:00	2026-07-17T17:15:20+08:00	73	0.989824(±0.000730)	0.991955(±0.000486)	0.941537(±0.002089)	0.979677(±0.002143)	0.960228(±0.001809)	/home/zry/workspace/HDCTI/results/batch_runs/no_dense_chcr_full_20260717_171403/01_tcmsuite_herb_only.log	de8c14948959f7630dccc799fb81881b243d65d50b8a54026baf10b9218f0893
TCM-Suite	Hctx-P+CHCR	configs/HDCTI_tcmsuite_pair_stratified_chcr_no_dense_full.conf	0	OK	2026-07-17T17:15:20+08:00	2026-07-17T17:17:04+08:00	104	0.990424(±0.000604)	0.992363(±0.000453)	0.945705(±0.002566)	0.978977(±0.001803)	0.962051(±0.001357)	/home/zry/workspace/HDCTI/results/batch_runs/no_dense_chcr_full_20260717_171403/02_tcmsuite_chcr.log	b6bf222e7550c0c545956eeb5545204ae8f253bfea1d6c1d36e3b75e0aab996a
TCMSP	Hctx-P	configs/HDCTI_tcmsp_pair_stratified_herb_only_no_dense_full.conf	0	OK	2026-07-17T17:17:04+08:00	2026-07-17T17:19:19+08:00	135	0.987174(±0.001237)	0.984146(±0.001740)	0.957827(±0.005355)	0.952063(±0.002058)	0.954928(±0.002547)	/home/zry/workspace/HDCTI/results/batch_runs/no_dense_chcr_full_20260717_171403/03_tcmsp_herb_only.log	80fc6531dcaa7fbe069f690de8195da003c313d89fa4cc0e395a96d7fc78c79f
TCMSP	Hctx-P+CHCR	configs/HDCTI_tcmsp_pair_stratified_chcr_no_dense_full.conf	0	OK	2026-07-17T17:19:19+08:00	2026-07-17T17:23:56+08:00	277	0.987570(±0.001400)	0.985253(±0.001996)	0.958344(±0.003414)	0.951800(±0.002364)	0.955057(±0.002107)	/home/zry/workspace/HDCTI/results/batch_runs/no_dense_chcr_full_20260717_171403/04_tcmsp_chcr.log	3be133daed67e5bb71784c660a578dbe5d809c92bca65a40eefd8b4820db1d72
SymMap2.0	Hctx-P	configs/HDCTI_symmap_pair_stratified_herb_only_no_dense_full.conf	0	OK	2026-07-17T17:23:56+08:00	2026-07-17T17:25:42+08:00	106	0.956458(±0.002573)	0.954348(±0.002973)	0.907189(±0.014557)	0.885244(±0.014665)	0.895901(±0.003644)	/home/zry/workspace/HDCTI/results/batch_runs/no_dense_chcr_full_20260717_171403/05_symmap_herb_only.log	1ff151c5d8275450cbfa636dcf70e4765eb4f3423393ea66f78c553e3a14de8c
SymMap2.0	Hctx-P+CHCR	configs/HDCTI_symmap_pair_stratified_chcr_no_dense_full.conf	0	OK	2026-07-17T17:25:42+08:00	2026-07-17T17:32:03+08:00	381	0.956466(±0.002462)	0.954387(±0.002812)	0.905425(±0.015372)	0.885215(±0.015138)	0.895007(±0.003357)	/home/zry/workspace/HDCTI/results/batch_runs/no_dense_chcr_full_20260717_171403/06_symmap_chcr.log	ad8aeb447b89ba09fb671e89eb8b9c1b670ad6e48d923363788f92a8dde0864f
ETCM2.0 mention10	Hctx-P	configs/HDCTI_etcm_mention10_pair_stratified_herb_only_no_dense_full.conf	0	OK	2026-07-17T17:32:03+08:00	2026-07-17T17:42:02+08:00	599	0.977754(±0.000454)	0.973997(±0.000780)	0.939173(±0.002854)	0.924968(±0.006769)	0.931999(±0.002611)	/home/zry/workspace/HDCTI/results/batch_runs/no_dense_chcr_full_20260717_171403/07_etcm_mention10_herb_only.log	b7d6f1000da991125d19ab9fb9fd91767592e4ea4073eaba499c8af2195860fb
ETCM2.0 mention10	Hctx-P+CHCR	configs/HDCTI_etcm_mention10_pair_stratified_chcr_no_dense_full.conf	0	OK	2026-07-17T17:42:02+08:00	2026-07-17T17:55:31+08:00	809	0.982039(±0.000606)	0.980326(±0.000980)	0.941231(±0.003153)	0.933741(±0.001857)	0.937466(±0.001121)	/home/zry/workspace/HDCTI/results/batch_runs/no_dense_chcr_full_20260717_171403/08_etcm_mention10_chcr.log	2a8150915b853176460ca86e1f7212a63965b88c71053ed26d619fce096a6a44
